Id,Dwelling Type,Lot Frontage,Lot Area,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,1st Floor Area,2nd Floor Area,Total Area,Bedrooms Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Finish,Garage Cars,Sale Condition,Sale Price,Porch Area,Full Bathrooms,Half Bathrooms,Bathrooms,Pool,Extra Kitchens,Baths per Bedroom,dt_1-1/2 STORY ALL AGES,dt_1-STORY 1945 & OLDER,dt_1-STORY PUD,dt_2 FAMILY CONVERSION,dt_2-1/2 STORY ALL AGES,dt_2-STORY 1945 & OLDER,dt_2-STORY 1946 & NEWER,dt_2-STORY PUD,dt_DUPLEX,dt_SPLIT FOYER,dt_SPLIT OR MULTI-LEVEL,lc_Banked,lc_Depression,lc_Hillside,nh_Bloomington Heights,nh_Bluestem,nh_Briardale,nh_Brookside,nh_Clear Creek,nh_College Creek,nh_Crawford,nh_Edwards,nh_Gilbert,nh_Iowa DOT and Rail Road,nh_Meadow Village,nh_Mitchell,nh_Northpark Villa,nh_Northridge,nh_Northridge Heights,nh_Northwest Ames,nh_Old Town,nh_Sawyer,nh_Sawyer West,nh_Somerset,nh_South & West of Iowa State,nh_Stone Brook,nh_Timberland,nh_Veenker,locc_Adjacent Arterial St,locc_Adjacent Feeder St,locc_Adjacent Pos Feature,locc_Adjacent Railroad,locc_Near Pos Feature,locc_Near Railroad,sc_Abnormal Sale,sc_Allocation,sc_Home not complete,sc_Sale within Family,gf_Finished,gf_Rough Finished,gf_Unfinished,Kitchen Quality Num
246,1-STORY 1946 & NEWER,80,10400,Level,Northwest Ames,Normal,7,5,1988,102,929,916,1872,0,1872,3,Average,6,1,Finished,2,Normal Sale,241500,236,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
248,1-STORY 1946 & NEWER,75,11310,Level,North Ames,Normal,6,5,1954,0,0,1367,1375,0,1375,2,Average,5,1,Unfinished,2,Normal Sale,140000,30,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
249,2-STORY 1946 & NEWER,72,11317,Level,College Creek,Normal,7,5,2003,101,0,840,840,828,1668,3,Good,8,0,Rough Finished,2,Normal Sale,180000,212,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
250,1-1/2 STORY ALL AGES,0,159000,Depression,Clear Creek,Normal,6,7,1958,472,697,747,1444,700,2144,4,Good,7,2,Finished,2,Normal Sale,277000,98,2,1,2.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
251,1-STORY 1945 & OLDER,55,5350,Level,Brookside,Normal,3,2,1940,0,0,728,1306,0,1306,3,Fair,6,0,No Garage,0,Normal Sale,76500,263,1,0,1,0,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
252,1-STORY PUD,44,4750,Hillside,Crawford,Normal,8,5,2006,481,1573,0,1625,0,1625,2,Good,5,1,Finished,2,Sale between family members,235000,276,3,1,3.5,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
253,2-STORY 1946 & NEWER,65,8366,Level,Sawyer West,Normal,6,5,2004,0,0,798,798,842,1640,3,Good,6,0,Rough Finished,2,Normal Sale,173000,183,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
254,SPLIT OR MULTI-LEVEL,85,9350,Level,North Ames,Normal,6,7,1964,108,270,452,1302,0,1302,3,Good,7,0,Rough Finished,1,Normal Sale,158000,333,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
255,1-STORY 1946 & NEWER,70,8400,Level,North Ames,Normal,5,6,1957,0,922,392,1314,0,1314,3,Average,5,0,Rough Finished,1,Normal Sale,145000,250,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
256,2-STORY 1946 & NEWER,66,8738,Level,Gilbert,Normal,7,5,1999,302,0,975,1005,1286,2291,4,Good,8,1,Finished,2,Normal Sale,230000,192,2,1,2.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
257,2-STORY 1946 & NEWER,64,8791,Level,Somerset,Normal,6,5,2003,0,503,361,864,864,1728,3,Good,7,0,Rough Finished,2,Normal Sale,207500,272,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
258,1-STORY 1946 & NEWER,68,8814,Level,College Creek,Normal,7,5,2006,180,1334,270,1604,0,1604,3,Good,8,1,Rough Finished,2,"Abnormal Sale -  trade, foreclosure, short sale",220000,233,3,1,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
259,2-STORY 1946 & NEWER,80,12435,Level,College Creek,Normal,7,5,2001,172,361,602,963,829,1792,3,Good,7,1,Rough Finished,2,Normal Sale,231500,341,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
260,1-STORY 1946 & NEWER,70,12702,Level,Old Town,Normal,5,5,1956,0,0,0,882,0,882,2,Average,4,0,Unfinished,1,Normal Sale,97000,45,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
261,SPLIT OR MULTI-LEVEL,120,19296,Level,North Ames,Adjacent Arterial St,6,5,1962,399,672,0,1382,0,1382,3,Average,6,1,Unfinished,2,Normal Sale,176000,252,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
262,2-STORY 1946 & NEWER,69,9588,Level,College Creek,Normal,8,5,2007,270,0,1482,1482,1092,2574,3,Excellent,10,1,Finished,3,Home was not completed when last assessed (associated with New Homes),276000,148,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
263,SPLIT OR MULTI-LEVEL,88,8471,Level,Sawyer,Normal,6,7,1977,46,506,0,1212,0,1212,3,Average,6,1,Unfinished,2,Normal Sale,151000,304,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
264,1-1/2 STORY ALL AGES,50,5500,Level,Old Town,Normal,5,7,1929,0,234,0,926,0,926,3,Average,6,0,Unfinished,2,Normal Sale,130000,0,2,0,2,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
266,1-STORY 1946 & NEWER,78,12090,Level,Northwest Ames,Normal,6,6,1981,210,588,606,1422,0,1422,3,Good,7,1,Finished,2,Normal Sale,175500,276,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
267,2-STORY 1946 & NEWER,70,11207,Hillside,Gilbert,Normal,6,5,1997,0,714,88,802,709,1511,3,Average,8,1,Finished,2,Normal Sale,185000,170,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
268,2-1/2 STORY ALL AGES,60,8400,Banked,South & West of Iowa State,Normal,5,8,1939,0,378,342,1052,720,1772,4,Good,8,1,Unfinished,1,Normal Sale,179500,286,2,1,2.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
269,1-STORY 1945 & OLDER,71,6900,Level,Iowa DOT and Rail Road,Normal,5,6,1940,0,403,212,778,0,778,2,Average,4,1,Finished,1,Normal Sale,120500,25,1,0,1,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
270,1-STORY 1946 & NEWER,0,7917,Level,Edwards,Normal,6,7,1976,174,751,392,1113,0,1113,3,Average,6,1,Rough Finished,1,Normal Sale,148000,400,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
271,2-STORY 1946 & NEWER,84,10728,Level,Somerset,Normal,8,5,2006,0,0,1095,1095,844,1939,3,Good,8,1,Rough Finished,3,Home was not completed when last assessed (associated with New Homes),266000,243,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
272,1-STORY 1946 & NEWER,73,39104,Depression,Clear Creek,Normal,7,7,1954,0,226,96,1363,0,1363,2,Average,5,2,Unfinished,2,Normal Sale,241500,81,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
273,2-STORY 1946 & NEWER,92,11764,Level,Northridge,Normal,8,7,1999,348,524,628,1164,1106,2270,4,Good,9,1,Finished,3,Normal Sale,290000,189,2,1,2.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
274,1-STORY 1946 & NEWER,80,9600,Level,North Ames,Adjacent Feeder St,6,6,1958,183,620,0,1632,0,1632,3,Average,6,1,Rough Finished,1,Normal Sale,139000,289,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
275,1-STORY 1946 & NEWER,76,8314,Level,Mitchell,Normal,5,7,1982,0,546,270,816,0,816,2,Average,5,0,Unfinished,1,Normal Sale,124500,168,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
276,1-1/2 STORY ALL AGES,55,7264,Level,Brookside,Normal,7,7,1925,0,0,952,952,596,1548,3,Excellent,5,0,Unfinished,2,Normal Sale,205000,218,2,1,2.5,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
277,1-STORY 1946 & NEWER,129,9196,Level,Mitchell,Normal,7,5,2003,0,0,1560,1560,0,1560,3,Good,7,0,Finished,2,Normal Sale,201000,250,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
278,1-STORY 1946 & NEWER,140,19138,Level,Gilbert,Normal,4,5,1951,0,120,744,864,0,864,2,Average,4,0,Unfinished,2,Normal Sale,141000,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
279,1-STORY 1946 & NEWER,107,14450,Level,Northridge Heights,Normal,9,5,2006,315,0,2121,2121,0,2121,3,Excellent,8,1,Finished,3,Home was not completed when last assessed (associated with New Homes),415298,364,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
280,2-STORY 1946 & NEWER,83,10005,Level,Clear Creek,Normal,7,5,1977,299,392,768,1156,866,2022,4,Average,8,1,Finished,2,Normal Sale,192000,405,2,1,2.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
281,2-STORY 1946 & NEWER,82,11287,Level,Sawyer West,Normal,7,6,1989,340,421,386,1175,807,1982,3,Good,7,1,Finished,2,Normal Sale,228500,280,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
282,1-STORY 1946 & NEWER,60,7200,Level,Somerset,Normal,6,5,2006,68,905,357,1262,0,1262,2,Good,5,0,Finished,2,Home was not completed when last assessed (associated with New Homes),185000,120,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
283,1-STORY PUD,34,5063,Level,Northridge Heights,Normal,7,5,2007,166,904,410,1314,0,1314,2,Good,6,1,Rough Finished,2,Normal Sale,207500,234,3,0,3,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
284,1-STORY 1946 & NEWER,74,9612,Level,Somerset,Adjacent Feeder St,8,5,2008,72,0,1468,1468,0,1468,3,Good,6,1,Finished,3,Home was not completed when last assessed (associated with New Homes),244600,360,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3
285,1-STORY PUD,50,8012,Level,Sawyer West,Normal,6,5,1992,0,430,1145,1575,0,1575,2,Good,5,0,Rough Finished,2,Normal Sale,179200,52,3,0,3,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
286,2-STORY PUD,35,4251,Level,Somerset,Normal,7,5,2006,0,0,625,625,625,1250,2,Good,5,0,Rough Finished,2,Home was not completed when last assessed (associated with New Homes),164700,54,2,1,2.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
287,1-1/2 STORY ALL AGES,77,9786,Banked,North Ames,Normal,6,7,1962,0,600,312,1085,649,1734,3,Good,7,1,Rough Finished,2,Normal Sale,159000,128,1,1,1.5,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
288,1-STORY 1946 & NEWER,0,8125,Level,North Ames,Normal,4,4,1971,0,614,244,858,0,858,3,Average,5,0,No Garage,0,Normal Sale,88000,0,1,0,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
289,1-STORY 1946 & NEWER,0,9819,Level,Sawyer,Normal,5,5,1967,31,450,432,900,0,900,3,Average,5,0,Unfinished,1,Normal Sale,122000,0,1,0,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
290,2-STORY 1945 & OLDER,60,8730,Level,Brookside,Adjacent Railroad,6,7,1915,0,0,698,698,698,1396,3,Average,7,0,Unfinished,1,Normal Sale,153575,259,1,0,1,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
291,2-STORY 1946 & NEWER,120,15611,Level,College Creek,Normal,8,5,2006,0,0,1079,1079,840,1919,3,Good,8,1,Rough Finished,2,Home was not completed when last assessed (associated with New Homes),233230,51,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
292,2 FAMILY CONVERSION,55,5687,Banked,South & West of Iowa State,Normal,5,6,1912,0,210,570,936,780,1716,6,Fair,9,0,No Garage,0,Normal Sale,135900,184,3,0,3,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
293,1-1/2 STORY ALL AGES,60,11409,Level,Edwards,Normal,5,4,1949,0,292,476,1148,568,1716,3,Average,8,1,Unfinished,1,Normal Sale,131000,160,1,1,1.5,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
294,2-STORY 1946 & NEWER,0,16659,Level,Northwest Ames,Adjacent Pos Feature,7,7,1977,34,795,0,1468,795,2263,3,Good,9,1,Finished,2,Normal Sale,235000,250,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
295,1-STORY 1946 & NEWER,80,9600,Level,North Ames,Normal,6,5,1953,238,1285,131,1644,0,1644,3,Average,7,2,Finished,2,Normal Sale,167000,110,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
296,SPLIT OR MULTI-LEVEL,37,7937,Level,Mitchell,Normal,6,6,1984,0,819,184,1003,0,1003,3,Average,6,0,Unfinished,2,Normal Sale,142500,120,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
297,1-1/2 STORY ALL AGES,75,13710,Level,Iowa DOT and Rail Road,Normal,5,5,1950,0,420,490,910,648,1558,4,Average,6,0,Unfinished,1,Normal Sale,152000,289,1,1,1.5,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
298,2-STORY 1946 & NEWER,66,7399,Level,Somerset,Normal,7,5,1997,1600,649,326,975,975,1950,3,Good,7,1,Rough Finished,2,Normal Sale,239000,208,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
299,2-STORY 1946 & NEWER,90,11700,Level,Northwest Ames,Normal,6,6,1968,365,384,143,1041,702,1743,3,Average,7,1,Unfinished,2,Normal Sale,175000,224,1,3,2.5,0,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
300,1-STORY 1946 & NEWER,80,14000,Level,Crawford,Normal,6,8,1950,0,0,1092,1152,0,1152,3,Good,6,1,Unfinished,1,Sale between family members,158500,36,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
301,2 FAMILY CONVERSION,90,15750,Level,Crawford,Normal,5,5,1953,56,841,324,1336,0,1336,2,Average,5,2,Unfinished,1,Normal Sale,157000,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
302,2-STORY 1946 & NEWER,66,16226,Level,College Creek,Normal,8,5,1998,0,281,747,1210,1242,2452,4,Good,9,1,Finished,2,Normal Sale,267000,258,2,1,2.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
303,1-STORY 1946 & NEWER,118,13704,Level,College Creek,Normal,7,5,2001,150,0,1541,1541,0,1541,3,Good,6,1,Rough Finished,3,Normal Sale,205000,549,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
304,1-STORY 1946 & NEWER,70,9800,Level,College Creek,Normal,5,7,1972,0,894,0,894,0,894,3,Average,5,0,Unfinished,2,"Abnormal Sale -  trade, foreclosure, short sale",149900,256,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
305,2-1/2 STORY ALL AGES,87,18386,Level,Old Town,Normal,7,9,1880,0,0,1470,1675,1818,3493,3,Good,10,1,Unfinished,3,Normal Sale,295000,302,3,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
306,1-STORY 1946 & NEWER,80,10386,Level,College Creek,Normal,8,5,2004,246,1464,536,2000,0,2000,3,Good,8,0,Finished,3,Normal Sale,305900,168,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
307,2-STORY 1946 & NEWER,116,13474,Level,Sawyer West,Adjacent Feeder St,7,5,1990,246,700,0,1122,1121,2243,4,Good,8,1,Rough Finished,3,Normal Sale,225000,395,3,1,3.5,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
308,1-1/2 STORY ALL AGES,0,7920,Level,Iowa DOT and Rail Road,Adjacent Arterial St,6,7,1920,0,0,319,1035,371,1406,3,Fair,6,0,No Garage,0,Normal Sale,89500,144,1,0,1,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
309,1-STORY 1945 & OLDER,0,12342,Level,Edwards,Normal,4,5,1940,0,262,599,861,0,861,1,Average,4,0,Unfinished,2,Normal Sale,82500,158,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
310,1-STORY 1946 & NEWER,90,12378,Level,Northridge Heights,Normal,9,5,2003,0,1274,622,1944,0,1944,3,Excellent,8,3,Finished,3,Normal Sale,360000,383,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
